Album Number,Album,Song,Unique Color,Family,Count,Notes,,Albums per Apple Music,
10,Midnights (3am Edition),Lavender Haze,Lavender,Purple,10,9+1 title,,Midnights (3am Edition),40
10,Midnights (3am Edition),Maroon,Maroon,Red,10,9+1 title,,evermore (deluxe version),26
10,Midnights (3am Edition),Maroon,Burgundy,Red,3,,,folklore (deluxe version),17
10,Midnights (3am Edition),Maroon,Scarlet,Red,6,,,Lover,26
10,Midnights (3am Edition),Snow On The Beach,Aurora Borealis Green,Green,1,,,reputation,18
10,Midnights (3am Edition),Question...?,Color,Special,1,"Generic ""color""",,1989 (deluxe edition),23
10,Midnights (3am Edition),Question...?,Gray,Gray,1,,,Red (Taylor's Version),36
10,Midnights (3am Edition),Vigilante Shit,White,White,1,"""white-collar""",,Speak Now (Deluxe Edition),8
10,Midnights (3am Edition),Bejeweled,Sapphire,Blue,1,"""sapphire tears""",,Fearless (Taylor's Version),14
10,Midnights (3am Edition),The Great War,Crimson,Red,3,,,Taylor Swift (Bonus Track Version),17
10,Midnights (3am Edition),The Great War,Blue,Blue,1,,,,225
10,Midnights (3am Edition),Glitch,Black,Black,2,"""blackout"" and ""blacking out""",,,
9,evermore (deluxe edition),champagne problems,Green,Green,1,"""evergreen""",,,
9,evermore (deluxe edition),gold rush,Gold,Gold,7,6+1 title,,,
9,evermore (deluxe edition),gold rush,Red,Red,2,,,,
9,evermore (deluxe edition),gold rush,Rose,Red,2,,,Using Album and Lyrics per Apple Music,
9,evermore (deluxe edition),gold rush,Gray,Gray,2,,,using Taylor's Version and Deluxe albums where available,
9,evermore (deluxe edition),tolerate it,Color,Special,2,"Generic ""colors""",,"no additional singles, no songs not on main albums, no EPs, no remixes",
9,evermore (deluxe edition),happiness,Green,Green,1,,,no songs not available on Apple Music ,
9,evermore (deluxe edition),coney island,Gold,Gold,1,,,using Taylor's Version and Deluxe albums where available,
9,evermore (deluxe edition),coney island,Blue,Blue,1,"""bluest""",,only counting lyrics as noted by apple music. this may not include any background vocals,
9,evermore (deluxe edition),coney island,Gray,Gray,1,,,"Not counting additional versions of songs (ex: Count ""All Too Well 10 minute"", but not including original)",
9,evermore (deluxe edition),ivy,Opal,Special,1,,,,
9,evermore (deluxe edition),long story short,Gold,Gold,1,"""golden""",,,
9,evermore (deluxe edition),marjorie,Amber,Special,1,,,,
9,evermore (deluxe edition),evermore,Gray,Gray,1,,,,
9,evermore (deluxe edition),right where you left me,White,White,2,,,,
8,folklore (deluxe edition),cardigan,Black,Black,1,,,,
8,folklore (deluxe edition),the last great american dynasty,Midnight,Blue,1,"debatable, could be time",,,
8,folklore (deluxe edition),the last great american dynasty,Key Lime Green,Green,1,,,,
8,folklore (deluxe edition),illicit affairs,Color,Special,1,"generic 'colors""",,,
8,folklore (deluxe edition),invisible string,Green,Green,1,,,,
8,folklore (deluxe edition),invisible string,Teal,Blue,1,,,,
