relationship_status,relationship_years,sleep_freq,snores,frequent bathroom trips in the night,sick,no longer physically intimate,different temperature preferences for the room,argument/fight,not enough space,do not want to share the covers,needs to sleep with a child,night working/very different sleeping times,sleeping in separate beds helps us to stay together.,we sleep better when we sleep in separate beds.,our sex life has improved as a result of sleeping in separate beds.,Gender,Age,location
"Single, but cohabiting with a significant other",1-5 years,A few times per month,True,True,True,False,False,True,False,True,False,False,Somewhat agree,Strongly agree,Strongly disagree,Male,18-29,South Atlantic
Married,6-10 years,Once a month or less,True,False,False,False,False,False,False,False,False,False,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Male,30-44,West North Central
In a domestic partnership or civil union,1-5 years,A few times per week,True,False,True,True,False,False,False,False,False,False,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Male,30-44,South Atlantic
"Single, but cohabiting with a significant other",6-10 years,Once a month or less,True,False,True,False,False,False,False,False,False,False,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Male,30-44,East North Central
Married,16-20 years,A few times per week,False,False,False,False,False,False,False,False,True,False,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Male,30-44,East North Central
Married,11-15 years,A few times per week,False,False,False,False,False,False,False,False,False,True,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Male,30-44,South Atlantic
Married,6-10 years,Once a month or less,False,False,False,False,False,False,False,False,False,False,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Male,30-44,New England
Married,11-15 years,Once a month or less,False,False,True,False,False,False,False,False,False,False,Somewhat disagree,Somewhat disagree,Strongly disagree,Male,30-44,East North Central
"Single, but cohabiting with a significant other",1-5 years,Once a year or less,False,False,False,False,False,True,False,False,False,True,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Male,18-29,New England
Married,11-15 years,Once a month or less,False,False,False,False,False,False,False,False,True,False,Strongly disagree,Strongly disagree,Strongly disagree,Male,30-44,Pacific
Married,More than 20 years,Once a year or less,True,False,False,False,False,False,False,False,False,False,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Male,30-44,West North Central
Married,11-15 years,Once a year or less,True,False,False,False,False,False,False,False,False,True,Neither agree nor disagree,Strongly agree,Somewhat disagree,Male,30-44,West North Central
In a domestic partnership or civil union,11-15 years,A few times per week,False,False,False,False,False,True,False,False,False,True,Strongly agree,Somewhat agree,Somewhat agree,Male,30-44,Pacific
"Single, but cohabiting with a significant other",1-5 years,Once a month or less,False,False,False,False,False,False,True,False,False,False,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Male,18-29,West South Central
Married,16-20 years,Once a month or less,True,False,False,False,True,True,False,False,False,True,Strongly agree,Neither agree nor disagree,Somewhat disagree,Male,30-44,Pacific
"Single, but cohabiting with a significant other",Less than 1 year,Every night,True,False,False,False,False,False,True,False,False,False,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Male,18-29,East North Central
Married,6-10 years,Once a year or less,False,False,False,False,False,False,False,False,False,True,Strongly disagree,Strongly disagree,Strongly disagree,Male,30-44,Pacific
Married,6-10 years,Once a year or less,False,False,False,False,False,False,False,False,False,True,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Male,30-44,Pacific
Married,11-15 years,Once a year or less,True,False,False,False,False,False,False,False,False,False,Strongly disagree,Strongly disagree,Strongly disagree,Male,30-44,East North Central
Married,16-20 years,Once a year or less,False,False,True,False,False,False,False,False,False,False,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Male,30-44,West North Central
Married,More than 20 years,Every night,True,False,False,False,False,False,False,False,False,False,Somewhat agree,Strongly agree,Neither agree nor disagree,Male,45-60,East North Central
